,tp,tn,fp,fn,f1,mcc,ground_pairs,pred_pairs
322,10.0,3046.0,68.0,36.0,0.16129032258064516,0.15095318445642655,46,78
323,36.0,2343.0,32.0,4.0,0.6666666666666667,0.68397847299185,40,68
324,46.0,2844.0,30.0,6.0,0.71875,0.7261313528619472,52,76
325,36.0,2993.0,42.0,10.0,0.5806451612903226,0.5935124118691566,46,78
326,36.0,8646.0,96.0,0.0,0.42857142857142855,0.5193576096474336,36,132
327,36.0,4850.0,64.0,0.0,0.5294117647058824,0.5960799906986942,36,100
328,36.0,3655.0,50.0,0.0,0.5901639344262295,0.6426161105878412,36,86
329,36.0,4854.0,60.0,0.0,0.5454545454545454,0.608622416134376,36,96
330,32.0,5047.0,68.0,4.0,0.47058823529411764,0.5286746513523181,36,100
331,40.0,2079.0,26.0,0.0,0.7547169811320755,0.7736761737656986,40,66
332,42.0,5670.0,64.0,2.0,0.5599999999999999,0.6111145549186908,44,106
333,16.0,3297.0,66.0,24.0,0.26229508196721313,0.2673398184293872,40,82
334,44.0,10439.0,102.0,0.0,0.4631578947368421,0.5463091223366842,44,146
335,44.0,7626.0,80.0,0.0,0.5238095238095238,0.5925832803913094,44,124
336,42.0,6901.0,76.0,2.0,0.5185185185185185,0.5793124522223925,44,118
337,44.0,5037.0,58.0,12.0,0.5569620253164557,0.5763545753799796,56,102
338,36.0,14020.0,132.0,8.0,0.33962264150943394,0.41576999338448123,44,168
339,46.0,6787.0,70.0,0.0,0.5679012345679012,0.6265010036832972,46,116
340,42.0,3398.0,42.0,4.0,0.6461538461538461,0.6703416338725611,46,84
341,46.0,3486.0,38.0,0.0,0.7076923076923077,0.7360122019419865,46,84
342,40.0,2484.0,32.0,0.0,0.7142857142857143,0.7406008818093082,40,72
343,22.0,2538.0,50.0,18.0,0.39285714285714285,0.3980138911883076,40,72
